MEASURE,GROUP,SUBJECT,CATEGORY,TAX,DETAILS,2020,2021,2022,2023,2024,2025,2026,2027
"10% Temporary Wage Subsidy for Employers,Refundable tax credit classified as transfer payment,Employment,N/A,PIT/CIT,Personal and corporate income tax,""1,770"",–,–,–,–,–,–,–"
Accelerated capital cost allowance for liquefied natural gas facilities,Tax expenditure,Business - natural resources,Non-structural,PIT/CIT,Total,X,X,X,X,X,X,X,X
Accelerated capital cost allowance for liquefied natural gas facilities,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Accelerated capital cost allowance for liquefied natural gas facilities,Tax expenditure,Business - natural resources,Non-structural,CIT,Corporate income tax,X,X,X,X,X,X,X,X
Accelerated capital cost allowances for low-carbon liquefied natural gas facilities,Tax expenditure,Business - natural resources,Non-structural,PIT/CIT,Total,–,–,–,–,–,X,X,X
Accelerated capital cost allowances for low-carbon liquefied natural gas facilities,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,–,–,–,–,–,n.a.,n.a.,n.a.
Accelerated capital cost allowances for low-carbon liquefied natural gas facilities,Tax expenditure,Business - natural resources,Non-structural,CIT,Corporate income tax,–,–,–,–,–,X,X,X
Accelerated capital cost allowance for manufacturing or processing buildings,Tax expenditure,Business - other,Non-structural,PIT/CIT,Total,–,–,–,–,–,46,265,265
Accelerated capital cost allowance for manufacturing or processing buildings,Tax expenditure,Business - other,Non-structural,PIT,Personal income tax,–,–,–,–,–,1,5,5
Accelerated capital cost allowance for manufacturing or processing buildings,Tax expenditure,Business - other,Non-structural,CIT,Corporate income tax,–,–,–,–,–,45,260,260
Accelerated capital cost allowance for productivity-enhancing assets,Tax expenditure,Business - other,Non-structural,PIT/CIT,Total,–,–,–,–,620,420,300,-460
Accelerated capital cost allowance for productivity-enhancing assets,Tax expenditure,Business - other,Non-structural,PIT,Personal Income Tax,–,–,–,–,10,5,5,-10
Accelerated capital cost allowance for productivity-enhancing assets,Tax expenditure,Business - other,Non-structural,CIT,Corporate Income Tax,–,–,–,–,610,415,295,-455
Accelerated capital cost allowance for purpose-built rental housing,Tax expenditure,Housing,Non-structural,PIT/CIT,Total,–,–,–,–,S,10,85,230
Accelerated capital cost allowance for purpose-built rental housing,Tax expenditure,Housing,Non-structural,PIT,Personal income tax,–,–,–,–,S,1,4,10
Accelerated capital cost allowance for purpose-built rental housing,Tax expenditure,Housing,Non-structural,CIT,Corporate income tax,–,–,–,–,S,10,80,220
Accelerated capital cost allowance for zero-emission automotive equipment and vehicles,Tax expenditure,Environment,Non-structural,PIT/CIT,Total,4,5,15,20,25,30,25,35
Accelerated capital cost allowance for zero-emission automotive equipment and vehicles ,Tax expenditure,Environment,Non-structural,PIT/CIT,On-road zero-emission vehicles,3,5,15,20,20,25,20,30
Accelerated capital cost allowance for zero-emission automotive equipment and vehicles ,Tax expenditure,Environment,Non-structural,PIT/CIT,Other types of zero-emission automotive equipment and vehicles,S,1,1,1,5,5,5,10
"Accelerated Investment Incentive,Tax expenditure,Business - other,Non-structural,PIT/CIT,Total,""2,565"",""2,835"",""3,030"",""2,540"",50,""2,460"",""2,410"",""2,835"""
"Additional deduction for gifts of medicine,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Corporate income tax,X,X,X,–,–,–,–,–"
Additional Tax on Banks and Life Insurers,Tax expenditure,Business - other,Non-structural,CIT,Corporate Income Tax,–,–,-250,-340,-475,-545,-560,-585
Adoption Expense Tax Credit,Tax expenditure,Families and households,Structural,PIT,Personal income tax,1,2,2,2,2,2,2,2
