MESURE,GROUPE,THÈME,CATÉGORIE,IMPÔT OU TAXE,DÉTAILS,2020,2021,2022,2023,2024,2025,2026,2027
"Abattement d’impôt du Québec,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,""5,515"",""6,270"",""6,655"",""6,865"",""7,535"",""7,715"",""7,990"",""8,395"""
Abattement d’impôt du Québec,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,FID,Impôt sur le revenu des particuliers–fiducies,135,215,125,150,190,190,200,195
"Abattement d’impôt du Québec,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,""5,650"",""6,485"",""6,780"",""7,015"",""7,725"",""7,910"",""8,190"",""8,585"""
"Allocation canadienne pour enfants,Crédits d'impôt remboursables classés comme des paiements de transfert,Familles et ménages,S/O,IRP,Impôt sur le revenu des particuliers,""26,800"",""24,500"",""24,600"",""26,400"",""28,600"",""30,100"",""31,000"",""31,700"""
"Paiements trimestriels pour les familles ayant des enfants admissibles à l’Allocation canadienne pour enfants (2021)–prestations pour enfants,Crédits d'impôt remboursables classés comme des paiements de transfert,Familles et ménages,S/O,IRP,Impôt sur le revenu des particuliers,560,""1,680"",–,–,–,–,–,–"
"Allocation canadienne pour les travailleurs,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP,Impôt sur le revenu des particuliers,900,""2,400"",""3,290"",""4,465"",""5,110"",""5,215"",""5,215"",""5,215"""
Calcul spécial de l’impôt sur certains paiements forfaitaires rétroactifs,Mesures fiscales ne constituant pas des dépenses fiscales,Autres,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,F,1,1,1,10,1,1,1
"Compte d’épargne libre d’impôt,Dépenses fiscales,Épargne et investissement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,""1,700"",""3,220"",""2,005"",""2,665"",""3,675"",""4,050"",""4,695"",""5,505"""
"Compte d’épargne libre d’impôt pour l’achat d’une première propriété,Dépenses fiscales,Logement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,545,""1,110"",""1,250"",""1,410"",""1,585"""
Congé temporaire ciblé de la TPS/TVH,Dépenses fiscales,Familles et ménages,Mesures non structurelles,TPS,Taxe sur les produits et services,–,–,–,–,445,840,–,–
Crédit canadien pour aidant naturel,Dépenses fiscales,Familles et ménages,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,240,245,250,275,290,295,300,305
"Crédit canadien pour emploi,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""2,750"",""2,755"",""2,830"",""3,090"",""3,325"",""3,300"",""3,245"",""3,325"""
Crédit canadien pour la formation,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP,Impôt sur le revenu des particuliers,100,180,215,245,250,270,290,310
Crédit d’impôt à l’investissement dans l’hydrogène propre,Crédits d'impôt remboursables classés comme des paiements de transfert,Environnement,S/O,IRS,Impôt sur le revenu des sociétés,–,–,–,F,F,F,425,675
Crédit d’impôt à l’investissement dans la chaîne d’approvisionnement de véhicules électriques,Crédits d'impôt remboursables classés comme des paiements de transfert,Environnement,S/O,IRS,Impôt sur le revenu des sociétés,–,–,–,–,–,–,–,–
Crédit d’impôt à l’investissement dans la fabrication de technologies propres,Crédits d'impôt remboursables classés comme des paiements de transfert,Environnement,S/O,IRS,Impôt sur le revenu des sociétés,–,–,–,–,200,300,395,540
Crédit d’impôt à l’investissement dans la recherche scientifique et le développement expérimental,Dépenses fiscales,Entreprises - recherche et développement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,1,1,1,1,1,1,1,1
