measure_id,measure_name,column,old_value,new_value,fix
1,10% Temporary Wage Subsidy for Employers,amending_acts_count,12,20,B
2,$200 capital gains exemption on foreign exchange transactions,amending_acts_count,10,13,B
3,Accelerated capital cost allowance for clean energy generation equipme,amending_acts_count,93,108,B
4,Accelerated capital cost allowance for liquefied natural gas facilitie,amending_acts_count,45,53,B
5,Accelerated capital cost allowance for mining and oil sands assets,amending_acts_count,45,53,B
8,Accelerated capital cost allowance for vessels,amending_acts_count,45,53,B
9,Accelerated capital cost allowance for zero-emission automotive equipm,amending_acts_count,45,53,B
10,Accelerated deductibility of Canadian Renewable and Conservation Expen,amending_acts_count,15,17,B
11,Accelerated deductibility of some Canadian Exploration Expenses,amending_acts_count,9,11,B
12,Additional deduction for gifts of medicine,amending_acts_count,13,15,B
15,Age Credit,amending_acts_count,17,20,B
16,Apprentice vehicle mechanics' tools deduction,amending_acts_count,10,14,B
17,Apprenticeship Job Creation Tax Credit,beneficiaries_latest,500,,A
17,Apprenticeship Job Creation Tax Credit,beneficiaries_latest_year,2023,,A
17,Apprenticeship Job Creation Tax Credit,cost_per_beneficiary,220000.0,,A
17,Apprenticeship Job Creation Tax Credit,amending_acts_count,24,30,B
18,Atlantic Investment Tax Credit,beneficiaries_latest,3300,,A
18,Atlantic Investment Tax Credit,beneficiaries_latest_year,2023,,A
18,Atlantic Investment Tax Credit,cost_per_beneficiary,62121.21212121212,,A
18,Atlantic Investment Tax Credit,amending_acts_count,24,30,B
19,Canada Caregiver Credit,amending_acts_count,17,20,B
20,Canada Child Benefit,amending_acts_count,10,13,B
21,Canada Emergency Rent Subsidy and Lockdown Support,amending_acts_count,13,34,B
22,Canada Emergency Wage Subsidy,amending_acts_count,13,34,B
23,Canada Employment Credit,amending_acts_count,17,20,B
25,Canada Recovery Hiring Program,amending_acts_count,13,34,B
27,Canada Workers Benefit,amending_acts_count,3,7,B
28,Canadian Film or Video Production Tax Credit,amending_acts_count,4,5,B
29,Canadian Journalism Labour Tax Credit,beneficiaries_latest,200,,A
29,Canadian Journalism Labour Tax Credit,beneficiaries_latest_year,2023,,A
29,Canadian Journalism Labour Tax Credit,cost_per_beneficiary,325000.0,,A
29,Canadian Journalism Labour Tax Credit,amending_acts_count,0,2,B
31,Capital loss carry-overs,beneficiaries_latest,543000,,A
31,Capital loss carry-overs,beneficiaries_latest_year,2023,,A
31,Capital loss carry-overs,amending_acts_count,14,19,B
32,"Carbon Capture, Utilization, and Storage Investment Tax Credit",amending_acts_count,0,2,B
34,Charitable Donation Tax Credit,beneficiaries_latest,4100,,A
34,Charitable Donation Tax Credit,beneficiaries_latest_year,2023,,A
34,Charitable Donation Tax Credit,cost_per_beneficiary,991463.4146341464,,A
34,Charitable Donation Tax Credit,amending_acts_count,38,50,B
35,Child Care Expense Deduction,amending_acts_count,11,13,B
37,Clean Hydrogen Investment Tax Credit,amending_acts_count,0,2,B
38,Clean Technology Investment Tax Credit,amending_acts_count,0,2,B
39,Clean Technology Manufacturing Investment Tax Credit,amending_acts_count,0,2,B
40,Credit for subscriptions to Canadian digital news media,amending_acts_count,2,4,B
41,Credit for the Basic Personal Amount,amending_acts_count,17,20,B
42,Deductibility of certain costs incurred by musicians,amending_acts_count,10,14,B
43,Deductibility of charitable donations,amending_acts_count,13,15,B
44,Deductibility of contributions to a qualifying environmental trust,amending_acts_count,16,19,B
45,Deductibility of costs of capital assets and eligibility for investmen,amending_acts_count,33,47,B
46,Deductibility of countervailing and anti-dumping duties when paid,amending_acts_count,16,19,B
47,Deductibility of earthquake reserves,amending_acts_count,26,31,B
48,Deductibility of expenses by employed artists,amending_acts_count,10,14,B
49,Deduction for certain contributions by individuals who have taken vows,amending_acts_count,11,13,B
50,Deduction for clergy residence,amending_acts_count,10,14,B
52,Deduction for tradespeople’s tool expenses,amending_acts_count,10,14,B
53,Deduction for tuition assistance for adult basic education,amending_acts_count,11,13,B
54,Deduction of allowable business investment losses,beneficiaries_latest,6400,,A
54,Deduction of allowable business investment losses,beneficiaries_latest_year,2023,,A
54,Deduction of allowable business investment losses,cost_per_beneficiary,7031.25,,A
54,Deduction of allowable business investment losses,amending_acts_count,18,21,B
55,Deduction of interest and carrying charges incurred to earn investment,amending_acts_count,16,19,B
56,Deduction of other employment expenses,amending_acts_count,10,14,B
57,Deduction of union and professional dues,amending_acts_count,10,14,B
58,Deferral for asset transfers to a corporation and corporate reorganiza,amending_acts_count,50,70,B
64,Deferral through five-year capital gain reserve,beneficiaries_latest,9300,,A
64,Deferral through five-year capital gain reserve,beneficiaries_latest_year,2023,,A
64,Deferral through five-year capital gain reserve,amending_acts_count,15,18,B
65,Deferral through ten-year capital gain reserve,amending_acts_count,15,18,B
67,Deferred Profit-Sharing Plans,amending_acts_count,7,8,B
68,Disability supports deduction,amending_acts_count,8,9,B
69,Disability Tax Credit,amending_acts_count,15,16,B
72,Education Tax Credit,provisions_not_in_consolidation,1,0,D
72,Education Tax Credit,provisions_repealed_stub,0,1,D
72,Education Tax Credit,sections_touched,0,1,D
72,Education Tax Credit,shared_with_measures,0,1,D
72,Education Tax Credit,amending_acts_count,,14,B
72,Education Tax Credit,amending_acts_method,,pattern,B
73,Eligible Dependant Credit,amending_acts_count,17,20,B
74,Employee Ownership Capital Gains Exemption,amending_acts_count,0,3,B
75,Employee stock option deduction,amending_acts_count,18,22,B
77,Exemption for income of Canadian resident companies from international,amending_acts_count,34,46,B
78,Exemption for international shipping and aviation by non-residents,amending_acts_count,15,22,B
90,"Exemption of scholarship, fellowship and bursary income",amending_acts_count,18,25,B
91,Exemptions from non-resident withholding tax,amending_acts_count,16,20,B
93,Expensing of current expenditures on scientific research and experimen,amending_acts_count,12,13,B
94,Expensing of incorporation expenses,amending_acts_count,16,19,B
97,First-Time Home Buyers’ Tax Credit,amending_acts_count,0,1,B
98,Flow-through share deductions,beneficiaries_latest,34500,,A
98,Flow-through share deductions,beneficiaries_latest_year,2023,,A
98,Flow-through share deductions,cost_per_beneficiary,8260.869565217392,,A
98,Flow-through share deductions,amending_acts_count,11,16,B
100,Foreign tax credit for individuals,beneficiaries_latest,15900,,A
100,Foreign tax credit for individuals,beneficiaries_latest_year,2023,,A
100,Foreign tax credit for individuals,cost_per_beneficiary,159119.4968553459,,A
100,Foreign tax credit for individuals,amending_acts_count,12,14,B
101,Goods and Services Tax/Harmonized Sales Tax Credit,amending_acts_count,14,19,B
102,Hardest-Hit Business Recovery Program,amending_acts_count,13,34,B
103,Holdback on progress payments to contractors,amending_acts_count,15,21,B
