section_id,cited_section_id,act,citation_path,phrase,bound_kind,bound_date,bound_year,bound_precision,phrase_match,batch_id,prompt_sha256,context_used
13554,13554,ITA,110(1)(d),"has agreed after February 15, 1984 to sell or issue under an agreement",start,1984-02-15,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13778,13706,ITA,110.1(18),"after November 14, 2024",start,2024-11-14,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13778,13706,ITA,110.1(18),before 2025,end,,2025,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13778,13706,ITA,110.1(18),before March 2025,end,2025-03,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13739,13706,ITA,110.1(3)(a),"in the case of a gift made after December 20, 2002",start,2002-12-20,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13786,13783,ITA,"110.2(1)""eligible taxation year""(a)",that ended after 1977,start,,1977,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13812,13806,ITA,"110.6(1)""cumulative gains limit""(a)",preceding taxation years that end after 1984,start,,1984,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13814,13806,ITA,"110.6(1)""cumulative gains limit""(b)",preceding taxation years that end after 1984,start,,1984,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13819,13806,ITA,"110.6(1)""cumulative net investment loss""(a)",a preceding taxation year ending after 1987,start,,1987,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13821,13806,ITA,"110.6(1)""cumulative net investment loss""(b)",a preceding taxation year ending after 1987,start,,1987,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
